lab_no,shape,hex
5972-16,B,#586DBD
112-96,C,#586DBD
664-18,C,#586DBD
753-03,C,#586DBD
1526-08,C,#586DBD
5706-19,C,#586DBD
669-96,C,#586DBD
6792-15,C,#586DBD
10161-17,C,#586DBD
3054-92,C,#586DBD
2857-92,C,#586DBD
2494-18,C,#586DBD
520-05B,C,#586DBD
1371-10,A,#5BA7D8
815-10,A,#5BA7D8
7064-17,B,#5BA7D8
7685-14,B,#5BA7D8
5270-18,B,#5BA7D8
1146-14,B,#5BA7D8
4014-18,B,#5BA7D8
7936-17,B,#5BA7D8
8110-19,B,#5BA7D8
7766-16,B,#5BA7D8
4021-20,B,#5BA7D8
2058-14,B,#5BA7D8
3293-11,B,#5BA7D8
2591-08,B,#5BA7D8
402-14,B,#5BA7D8
2130-02,B,#5BA7D8
534-90,C,#5BA7D8
1859-04,C,#5BA7D8
1076-04,A,#1BB39E
6545-13,A,#1BB39E
3458-17,A,#1BB39E
1743-89,A,#1BB39E
1838-04,A,#1BB39E
9562-17,A,#1BB39E
2176-91,A,#1BB39E
1731-00,A,#1BB39E
2433-02,A,#1BB39E
3490-00,A,#1BB39E
3252-04,A,#1BB39E
2611-96,A,#1BB39E
1496-95,A,#1BB39E
11378-18,A,#994DB1
4-93,A,#994DB1
211-99,A,#994DB1
4246-05,A,#994DB1
2566-11,A,#994DB1
4127-15,A,#994DB1
1618-90,A,#994DB1
1787-94,A,#994DB1
8422-14,A,#994DB1
3301-16,A,#994DB1
8058-15,A,#994DB1
3508-14,A,#994DB1
7933-17,A,#994DB1
689-01,A,#994DB1
4448-05,A,#994DB1
1248-02,A,#994DB1
1775-03,A,#994DB1
2308-01,A,#994DB1
3847-10,A,#994DB1
3161-95,A,#994DB1
101-11,A,#994DB1
1812-02,A,#994DB1
3961-02,A,#994DB1
317-93,A,#994DB1
1998-91,A,#994DB1
222-92,A,#994DB1
827-03,A,#994DB1
3451-01,A,#994DB1
126-11,A,#994DB1
274-90,A,#994DB1
2856-94,A,#994DB1
2203-97,A,#994DB1
2576-00,A,#994DB1
1889-94,A,#994DB1
6529-12,A,#994DB1
2615-08,A,#994DB1
230-03,A,#994DB1
5715-15,A,#994DB1
6063-16,A,#994DB1
3077-18,A,#994DB1
1347-93,A,#994DB1
2360-93,A,#994DB1
631-91,A,#994DB1
4525-08,A,#994DB1
1784-05,A,#994DB1
5061-18,A,#994DB1
1459-02,A,#994DB1
83-91,A,#994DB1
1659-94,A,#994DB1
3079-02,A,#994DB1
3156-10,A,#994DB1
1634-04,A,#994DB1
2792-05,A,#994DB1
3339-93,A,#994DB1
3645-15,A,#994DB1
270-10,A,#994DB1
7016-16,A,#994DB1
7965-19,A,#994DB1
4083-04,A,#994DB1
81-05,A,#994DB1
11834-22,A,#994DB1
5376-13,B,#1BB39E
3443-00,B,#1BB39E
2275-97,B,#1BB39E
2436-92,B,#1BB39E
3601-99,B,#1BB39E
679-07,B,#1BB39E
