lab_no	Silhouette_Score
3527-15	0.021525713162946058
6626-12	0.02597082396552302
3861-07	0.1226534370275953
6902-14	0.16685349473408007
6238-16	-0.1264869839503357
1258-08	-0.002800152999802985
1696-90	-0.06523594658949966
2857-05	-0.10614958217118428
5077-16	-0.002971780034440026
446-01	-0.033712288294366455
1462-09	-0.041670012551883
4451-17	-0.010927719929430348
5306-20	-0.11029535417146086
3048-20	-0.1216509886405933
5567-14	0.09164960243748764
413-16	0.04704382786258558
412-16	-0.019622796418174163
123-01	0.14758880496786772
2114-04	0.1597110913797488
825-95	0.11387135881596876
2532-04	0.08529637434427141
64-93	0.04657101522177522
1089-95	0.19809520500992248
986-13	-0.13643484476409828
442-14	0.009390727039523006
775-01	-0.03410678370684489
2322-90	0.020944419974519218
5702-19	-0.041415545991976464
6345-10	0.05977364753465162
6360-14	0.0263973481538042
3372-16	-0.09695978150644931
807-15	0.052818681939927635
4613-09	0.08188145215467861
3651-03	-0.023508139126936486
2748-21	0.03746850917091217
491-94	-0.04090905372091219
3370-22	-0.14944751254180372
4096-04	0.07673434981727234
8486-18	0.124870432678797
11092-19	0.05458313364210086
12159-20	0.010037785261970536
1713-91	-0.016958618379634485
9518-18	-0.02160245128598843
1558-06	0.07481461962275561
2449-13	-0.09992866651447613
3112-92	-0.07451447896594281
3632-99	0.059578582267417225
2950-10	-0.006500626443503939
2186-93	-0.04294292724825155
4150-18	0.06839373148429768
68-98	0.23163839913195544
894-97	-0.0644059274261779
2810-92	0.1449383778090592
742-85	-0.0890577619548657
3047-97	-0.13076698603409612
11604-19	-0.11271295164222016
2033-19	0.036267067886113856
1798-17	-0.009599245190935003
6621-15	-0.032770578149750706
2978-96	-0.012207474095618245
2757-14	-0.045483044275259406
1257-99	-0.23805650948808676
2535-14	0.18152248666544255
2137-02	0.18326032586988025
447-15	0.11854055474226657
3063-16	0.21590379557901282
3150-99	0.18498685146008867
1179-01	0.008446036654461829
1701-91	-0.10853443411105528
2587-03	-0.13795396274512556
5818-16	-0.19179310097756322
1306-94	-0.03265278424440699
1558-97	-0.06772940800747312
498-95	-0.12426035044932231
1114-96	-0.04288635790877856
216-05	-0.12168861281429251
8113-19	-0.054849906722605216
11234-19	0.06386329007007084
935-01	-0.0777192452926512
1141-06	-0.18896085672668875
380-91	-0.06556610867663822
2130-99	-0.08250874345152431
387-01	-0.05507290118863795
2119-03	-0.06323964459071497
29-89	0.04072896395168352
4320-18	-0.0920025337397684
2283-03	-0.03944080322321438
8146-16	-0.047557750666434535
3586-98	-0.0673428675342589
192-92	-0.10191728923742162
447-99	-0.06693191310455623
10252-19	-0.0862287961638446
1586-94	-0.12364006869937116
446-05	-0.046542146040235856
2429-17	-0.07880899034223827
1835-93	-0.11181598534090144
2422-17	0.05139797355430782
4191-12	0.06039200374000917
4934-17	0.060812693732233136
9598-18	-0.024856310251762166
2465-18	-0.052493820639891504
3239-05	-0.06999311451963608
3334-00	-0.11641713664026374
3734-17	0.04591028275949976
8422-20	0.05699512406526013
3347-19	0.017369850707842135
10458-19	0.04928639337051839
8791-19	-0.22183493209835853
1518-93	-0.21399974102085648
3386-01	-0.12531568050185368
5357-20	-0.3399611685537758
9328-17	0.22189006197293018
1744-03	0.19878713904887726
10051-19	0.18129096921473553
3675-18	0.1492561994558199
2285-20	0.052876228655971316
3521-97	0.17369468600466909
3674-18	0.08648380187320981
434-94	0.19424057075706794
3186-04	0.17950248556422416
8707-17	0.14133192022368438
3168-18	0.13211870029261866
3892-18	0.023014302405461526
4101-00	0.2004673666377447
2819-13	-0.025897463259824723
6892-14	0.004404129773952545
6388-14	0.04205371690337641
6893-14	0.05382856108053581
6387-14	-0.056347246208721107
6389-14	0.054011845194733725
6894-14	-0.011247315491321111
6891-14	-0.04066667122248274
6159-13	0.05699475785880793
6158-13	0.033535960150202326
1429-88	0.03344280783140837
8346-18	0.05529074521852292
5908-19	-0.099917063685526
8345-18	0.03897538646586819
53-17	0.12125118511403686
2537-17	0.1056501520228774
4418-15	0.0011879553003876998
1893-03	0.13156725613564538
3929-03	0.17311248747426594
1209-95	0.07992024206991616
727-90	0.11350096791957252
2666-95	0.1439229889684244
1142-17	0.15354344528191868
3913-17	0.11523517559717887
6192-11	0.1355975447220353
8729-18	0.12895084174181112
4257-15	0.12193975150326394
9327-20	-0.07413964554041547
2971-01	-0.3168473185789426
4184-00	-0.12348022624165707
1792-07	-0.10784729669955385
763-01	-0.1424099502337752
5846-17	-0.0995165116726875
1970-05	-0.11764906538212401
861-20	-0.22288318727460107
6061-11	-0.12138514893635675
4392-12	-0.09683110614242199
423-04	-0.15290067149476366
10081-19	-0.05315171387790802
3735-04	-0.04530069717663273
11783-18	0.1462668554989758
1989-95	-0.03885215859478122
2480-92	0.16037315174732258
3170-20	0.08387534389935515
2790-02	0.13060918015661324
2430-90	0.1791966569368709
1139-03	0.07858357642484393
231-14	0.16309113463414662
591-10	0.18898390951824914
3234-92	0.1449827926363279
4530-08	0.13181078847911593
3014-94	0.16977715413782168
2991-93	0.10881334981681261
3874-14	0.18428320944088405
2926-99	0.14291399357276424
3827-99	0.16557773981700774
5279-11	0.13051075854753375
823-05	0.18327826290328386
6246-13	0.16792852486929163
2915-92	0.16069016999895167
1148-14	0.17695502906831193
1145-08	0.05915378537167567
4111-04	0.06736822789670822
3673-07	0.07486073645561721
3727-99	0.10094329428733533
3971-00	0.11833747663255657
3678-00	0.11162860449159212
1027-97	0.08653117954587601
2368-17	0.12825872453973206
124-93	0.10030170821127173
553-03	0.15725083290723404
1111-06	0.13298495764499704
3049-17	0.1290497328018684
704-90	0.13957711236302486
6376-16	0.15586864004220907
6742-18	0.013803483551780321
3295-11	-0.17574824113765994
37-09	-0.06725712995037172
5413-09	-0.062401218810562833
7871-16	-0.16016458208448975
1417-99	-0.16980657993382609
2689-88	-0.1496869200559505
3110-06	-0.04078412464320803
5056-07	-0.13403542477352587
2190-92	-0.12731036231033868
816-11	-0.060181142073580184
1719-17	-0.04632361832827588
380-92	-0.11976765909902948
1660-05	-0.11292771400906816
665-16	-0.044643093749984916
5728-15	-0.04407889250777689
5061-16	-0.06826831738869414
618-16	-0.0541207392723816
6559-18	-0.035362935811009175
5740-16	-0.11142892442170844
3415-98	-0.09309264999966586
896-99	-0.06097907061373043
2829-18	-0.07287458443855693
7334-16	-0.10365155161409911
8221-19	-0.026342514041493476
4450-04	-0.14386037705409827
217-17	-0.07222526793245579
1266-93	-0.0707069004699733
7756-18	-0.07511990762162442
3526-17	-0.017213722627314854
3077-07	-0.12594396933516544
1485-88	-0.1463514795578632
1116-05	-0.1685118210719371
4218-08	-0.0632693279812267
1864-88	-0.10008917603270243
3447-95	-0.05238050322493561
5830-18	-0.07189292448408374
9111-16	-0.03753502960622378
2137-88	-0.053433349320747184
1064-18	-0.03231636338062422
9323-17	-0.09626240835347633
4214-16	-0.043670519680408734
386-09	-0.07567550927512635
3425-17	-0.044104281564449184
10734-18	-0.0653971111763434
2868-97	-0.03382228235630673
3778-20	-0.05503733456119789
574-03	-0.12777931398916662
2146-03	-0.11944635706349814
3749-08	-0.05322534246949495
623-19	-0.09306281935527859
1155-89	-0.05439505749345281
2023-98	-0.050547192513522514
10331-17	-0.034098677616244834
6596-18	-0.10190104792482212
6689-15	-0.11984486449146005
3225-91	-0.1306862135960238
253-94	-0.04380281421113433
2400-04	-0.018658200008004222
2171-94	-0.0782033990423522
1728-05	-0.04822650351660539
2348-99	-0.08507560268979553
964-94	-0.07735557258347255
1262-19	-0.09438422649545372
3401-00	-0.024461336835535277
2146-02	-0.06806913577670849
334-96	-0.0377272682717015
3558-91	-0.08287931540274383
891-93	-0.11350538838251469
3420-93	-0.033045819966352155
789-00	-0.05282913009451193
4894-19	-0.07181300973666704
4161-00	-0.012289365794959501
2610-17	-0.11035966841919545
6377-17	-0.03821118053589875
413-94	-0.13879511980540363
9241-18	-0.03488742121970547
935-93	-0.09357226465709179
1015-01	-0.1260448066948905
4849-16	-0.037102770187347714
2697-07	-0.06479286441383356
6797-15	-0.06258775685117145
2167-07	-0.035062128667169096
313-02	-0.12536914228669022
2638-04	-0.04782298916309256
677-00	-0.041797407596775735
1518-00	-0.07322970787452876
670-17	-0.11087895037698799
3198-93	-0.05031383641575305
3837-01	-0.061130107277678813
320-97	-0.13310338001690536
2457-97	-0.05992173688740595
3751-08	-0.06270022066787172
171-01	-0.05080175962606851
8525-19	-0.1162897532642796
626-01	-0.13158188339034987
5196-08	-0.12111078435280656
1962-91	-0.13220078605779811
1230-18	-0.08066344619815106
